name,barId,bottleSize,alcoholContent,Prix/Bac,Bouteilles/Bac,Nb. Bacs,stockQuantity,purchasePrice,incrCoef,decrCoef,minCoef,maxCoef,Prix minimum,Prix maximum
Barbar,2,33,8,"23,66 €",20,3,60,"1,18 €","0,07 €","0,09 €","0,85","2,5","1,00 €","3,00 €"
Bertinchamps Brune,1,50,7,"50,61 €",20,1,20,"2,53 €","0,08 €","0,08 €","0,85","2,5","2,20 €","6,30 €"
Bertinchamps Hiver,3,25,8,"90,00 €",50,1,50,"1,80 €","0,08 €","0,10 €","0,85",2,"1,50 €","3,60 €"
Bertinchamps Pamplemousse,1,33,5,"36,81 €",24,2,48,"1,53 €","0,07 €","0,10 €","0,7","2,5","1,10 €","3,80 €"
Bertinchamps Triple,2,50,8,"49,39 €",20,2,40,"2,47 €","0,08 €","0,08 €","0,85","2,5","2,10 €","6,20 €"
Besos,1,33,"5,9","36,56 €",24,4,96,"1,52 €","0,07 €","0,08 €","0,8","2,5","1,20 €","3,80 €"
Bush Caractère,1,33,12,"32,88 €",24,4,96,"1,37 €","0,08 €","0,07 €","0,9","2,5","1,20 €","3,40 €"
Chimay Bleu,1,33,9,"35,77 €",20,3,60,"1,79 €","0,08 €","0,12 €","0,7",2,"1,30 €","3,60 €"
Chouffe Blonde,2,33,8,"32,29 €",24,4,96,"1,35 €","0,07 €","0,09 €","0,85","2,5","1,10 €","3,40 €"
Corne Triple,2,33,10,"41,44 €",24,2,48,"1,73 €","0,06 €","0,12 €","0,6",2,"1,00 €","3,50 €"
Cuvée des Trolls,2,25,7,"19,03 €",24,3,72,"0,79 €","0,12 €","0,05 €","0,95",2,"0,80 €","1,60 €"
Houppe,2,33,"7,5","40,37 €",24,3,72,"1,68 €","0,06 €","0,09 €","0,7","2,5","1,20 €","4,20 €"
Houppe Jambes en l’air,1,33,"4,8","36,36 €",24,3,72,"1,52 €","0,09 €","0,07 €","0,8","2,5","1,20 €","3,80 €"
Kasteel Rouge,1,33,8,"31,37 €",24,5,120,"1,31 €","0,11 €","0,12 €","0,75","4,5","1,00 €","5,90 €"
Kwak,1,33,8,"28,98 €",24,2,48,"1,21 €","0,11 €","0,10 €","0,95",2,"1,10 €","2,40 €"
Lupulus Blanche,1,33,"8,5","32,77 €",24,4,96,"1,37 €","0,07 €","0,08 €","0,85","2,5","1,20 €","3,40 €"
Lupulus Hopera,2,33,6,"37,95 €",24,3,72,"1,58 €","0,06 €","0,07 €","0,7",2,"1,10 €","3,20 €"
Lupulus Organicus,2,33,"8,5","36,64 €",24,4,96,"1,53 €","0,06 €","0,07 €","0,7",2,"1,10 €","3,10 €"
Lupulus Triple,3,25,"8,5","85,56 €",50,2,100,"1,71 €","0,08 €","0,10 €","0,85",2,"1,50 €","3,40 €"
Maes,3,25,"5,2","96,00 €",150,1,150,"0,64 €","0,08 €","0,10 €","0,9",4,"0,60 €","2,60 €"
Orval,1,33,"6,2","34,41 €",24,2,48,"1,43 €","0,09 €","0,10 €","0,85","4,5","1,20 €","6,50 €"
Pêcheresse,1,25,"2,5","26,80 €",24,5,120,"1,12 €","0,09 €","0,08 €","0,9","2,5","1,00 €","2,80 €"
Rasta Troll,1,33,7,"38,61 €",24,3,72,"1,61 €","0,06 €","0,10 €","0,8","2,5","1,30 €","4,00 €"
Rochefort 8,1,33,"9,2","33,24 €",24,3,72,"1,38 €","0,07 €","0,08 €","0,9","2,5","1,20 €","3,50 €"
Somerbsy Blackberry,1,33,"4,5","35,19 €",24,4,96,"1,47 €","0,10 €","0,12 €","0,85",4,"1,20 €","5,90 €"
Somerbsy Pomme,1,33,"4,5","35,24 €",24,4,96,"1,47 €","0,10 €","0,12 €","0,85",4,"1,20 €","5,90 €"
St-Feuillien Grand Cru,2,33,"9,5","40,78 €",24,4,96,"1,70 €","0,06 €","0,09 €","0,8","2,5","1,40 €","4,20 €"
Trappe Quadruple,1,33,10,"36,76 €",24,2,48,"1,53 €","0,07 €","0,09 €","0,8","2,5","1,20 €","3,80 €"
Triple Karmeliet,2,33,"8,4","34,71 €",24,5,120,"1,45 €","0,09 €","0,10 €","0,85",3,"1,20 €","4,30 €"
Vaurien,2,33,"5,7","17,11 €",12,2,24,"1,43 €","0,07 €","0,08 €","0,85","2,5","1,20 €","3,60 €"
Westmalle Triple,2,33,"9,5","32,63 €",24,3,72,"1,36 €","0,07 €","0,08 €","0,85","2,5","1,20 €","3,40 €"
